pincode,name,lat,lng,psu_branch_count,mpce_combined,hces_ppi,state,district
127028,127028,28.640015,75.67003,3.0,8611.0,40.8,HARYANA,BHIWANI
127029,127029,28.700789999999998,75.943025,1.0,8611.0,40.8,HARYANA,BHIWANI
127030,127030,28.621875,75.953845,1.0,8611.0,40.8,HARYANA,BHIWANI
127031,127031,28.88289,76.14808,2.0,8611.0,40.8,HARYANA,BHIWANI
127032,127032,28.955325000000002,76.048785,3.0,8611.0,40.8,HARYANA,BHIWANI
127035,127035,28.97372,75.94004,,8611.0,40.8,HARYANA,BHIWANI
127040,127040,28.835655,75.863575,4.0,8611.0,40.8,HARYANA,BHIWANI
127041,127041,29.007175,76.14245500000001,1.0,8611.0,40.8,HARYANA,HANSI
127042,127042,28.699145,76.324025,,8611.0,40.8,HARYANA,BHIWANI
127043,127043,28.754625,75.752685,1.0,8611.0,40.8,HARYANA,BHIWANI
127045,127045,28.96423,75.601005,1.0,8611.0,40.8,HARYANA,BHIWANI
127046,127046,28.82474,75.6276,2.0,8611.0,40.8,HARYANA,BHIWANI
127111,127111,28.807305,76.03667999999999,,8611.0,40.8,HARYANA,BHIWANI
127114,127114,28.844495,76.29115,1.0,8611.0,40.8,HARYANA,BHIWANI
127201,127201,28.516545,75.77694500000001,6.0,8611.0,40.8,HARYANA,BHIWANI
127306,127306,28.580765,76.306165,17.0,8611.0,40.8,HARYANA,CHARKI DADRI
127307,127307,28.643645,76.38635,,8611.0,40.8,HARYANA,BHIWANI
127308,127308,28.505850000000002,75.93810500000001,3.0,8611.0,40.8,HARYANA,CHARKI DADRI
127309,127309,28.70907,76.23783,,8611.0,40.8,HARYANA,BHIWANI
127310,127310,28.47422,76.130075,1.0,8611.0,40.8,HARYANA,CHARKI DADRI
131001,131001,28.9878,76.96889999999999,56.0,6642.0,28.2,HARYANA,SONIPAT
131021,131021,28.980179999999997,77.1345,4.0,6642.0,28.2,HARYANA,SONIPAT
131022,131022,28.990299999999998,76.89168000000001,1.0,6642.0,28.2,HARYANA,SONIPAT
131023,131023,28.93321,77.17145,3.0,6642.0,28.2,HARYANA,SONIPAT
131024,131024,29.070639999999997,76.90224,1.0,6642.0,28.2,HARYANA,SONIPAT
131027,131027,29.049995,77.13595000000001,6.0,6642.0,28.2,HARYANA,SONIPAT
131028,131028,28.863590000000002,77.157585,16.0,6642.0,28.2,HARYANA,SONIPAT
131029,131029,28.91001,77.09688,12.0,6642.0,28.2,HARYANA,SONIPAT
131030,131030,28.88555,77.121035,1.0,,,HARYANA,SONIPAT
131039,131039,29.065089999999998,77.08775,3.0,6642.0,28.2,HARYANA,SONIPAT
131101,131101,29.129015000000003,77.017435,19.0,6642.0,28.2,HARYANA,SONIPAT
131102,131102,29.12789,76.92506,1.0,6642.0,28.2,HARYANA,SONIPAT
131103,131103,28.877505,77.022335,5.0,6642.0,28.2,HARYANA,SONIPAT
131301,131301,29.14357,76.690805,23.0,6642.0,28.2,HARYANA,SONIPAT
131302,131302,29.21474,76.57997,3.0,6642.0,28.2,HARYANA,SONIPAT
131304,131304,29.1321,76.559065,2.0,6642.0,28.2,HARYANA,SONIPAT
131305,131305,29.13966,76.804755,2.0,6642.0,28.2,HARYANA,SONIPAT
131306,131306,29.21186,76.78641,2.0,6642.0,28.2,HARYANA,SONIPAT
131402,131402,28.880055,76.930355,18.0,6642.0,28.2,HARYANA,SONIPAT
131403,131403,28.93143,76.96203,1.0,6642.0,28.2,HARYANA,SONIPAT
131408,131408,28.941955,76.817605,2.0,6642.0,28.2,HARYANA,SONIPAT
131409,131409,29.00589,76.783455,,6642.0,28.2,HARYANA,SONIPAT
132001,132001,29.687765,76.98305500000001,97.0,6394.0,26.6,HARYANA,KARNAL
132022,132022,29.71753,77.103105,1.0,6394.0,26.6,HARYANA,KARNAL
132023,132023,29.733485,77.064395,4.0,6394.0,26.6,HARYANA,KARNAL
