pincode,district,state_name,state_code
754031,Cuttack,Odisha,OD
754032,Cuttack,Odisha,OD
754035,Cuttack,Odisha,OD
754037,Cuttack,Odisha,OD
754071,Cuttack,Odisha,OD
754082,Jajapur,Odisha,OD
754100,Cuttack,Odisha,OD
754102,Jagatsinghapur,Odisha,OD
754103,Jagatsinghapur,Odisha,OD
754104,Jagatsinghapur,Odisha,OD
754105,Cuttack,Odisha,OD
754106,Jagatsinghapur,Odisha,OD
754107,Jagatsinghapur,Odisha,OD
754108,Jagatsinghapur,Odisha,OD
754109,Jagatsinghapur,Odisha,OD
754110,Jagatsinghapur,Odisha,OD
754111,Jagatsinghapur,Odisha,OD
754112,Cuttack,Odisha,OD
754113,Jagatsinghapur,Odisha,OD
754114,Jagatsinghapur,Odisha,OD
754119,Jagatsinghapur,Odisha,OD
754120,Jagatsinghapur,Odisha,OD
754130,Jagatsinghapur,Odisha,OD
754131,Cuttack,Odisha,OD
754132,Jagatsinghapur,Odisha,OD
754133,Jagatsinghapur,Odisha,OD
754134,Kendrapara,Odisha,OD
754135,Jagatsinghapur,Odisha,OD
754136,Jagatsinghapur,Odisha,OD
754137,Jagatsinghapur,Odisha,OD
754138,Jagatsinghapur,Odisha,OD
754139,Jagatsinghapur,Odisha,OD
754140,Jagatsinghapur,Odisha,OD
754141,Jagatsinghapur,Odisha,OD
754142,Jagatsinghapur,Odisha,OD
754143,Jagatsinghapur,Odisha,OD
754145,Jagatsinghapur,Odisha,OD
754153,Kendrapara,Odisha,OD
754159,Jagatsinghapur,Odisha,OD
754160,Jagatsinghapur,Odisha,OD
754162,Jagatsinghapur,Odisha,OD
754200,Cuttack,Odisha,OD
754201,Cuttack,Odisha,OD
754202,Cuttack,Odisha,OD
754203,Kendrapara,Odisha,OD
754204,Cuttack,Odisha,OD
754205,Jajapur,Odisha,OD
754206,Cuttack,Odisha,OD
754207,Cuttack,Odisha,OD
754208,Cuttack,Odisha,OD
754209,Cuttack,Odisha,OD
754210,Kendrapara,Odisha,OD
754211,Kendrapara,Odisha,OD
754212,Kendrapara,Odisha,OD
754213,Kendrapara,Odisha,OD
