pincode,lat,lng
250002,28.96609636803482,77.69943237304688
250004,28.96609636803482,77.80240348739659
250205,28.90239305441441,77.62662079982385
250223,29.19132159326005,77.69943237304688
250005,28.96609636803482,77.59646125869716
250400,29.07870898064743,77.922371375254
245101,28.740871142809592,77.69943237304688
250110,29.05618645812491,77.69943237304688
201204,28.853483755422207,77.47649337083975
201305,28.55135414040336,77.42099761962892
245301,28.663966753015973,77.64305270936072
250601,28.96639742981878,77.31594085693361
476335,25.79989118208833,77.03613281250001
476355,25.73618786846793,77.10688914587493
476332,25.79989118208833,77.13619737878263
562149,13.169085434871482,77.67471313476564
560039,12.941660539489432,77.52674102783205
560063,13.105382121251072,77.60928930328595
560097,13.082488002506828,77.54013061523439
562157,13.169085434871482,77.58218986498466
561203,13.307713227732052,77.54013061523439
562110,13.259175524961572,77.67471313476564
562129,13.169085434871482,77.76723640454662
560049,13.105382121251072,77.74013696624533
562132,13.195100615119442,77.33988244663844
560074,12.88130322219734,77.43658033866863
562127,13.00870984943816,77.3058513019564
560060,12.945006535817749,77.46365520866972
561201,12.88130322219734,77.3058513019564
562120,12.832393923205135,77.17107867374342
562123,13.03509662590784,77.37121582031251
562109,12.85491644572766,77.37121582031251
560083,12.832393923205135,77.5713529668816
D395541,28.7063083,77.1087892
110053,28.7185203,77.2645076
501511,17.284587743508688,78.58989877409994
509218,17.284587743508688,78.39010122590004
500005,17.245101759112192,78.49
501505,17.379950294913925,78.63135167595722
500089,17.385699001729336,78.36806430165755
800081,17.449402315349744,78.3957142685449
500097,17.321995688108927,78.52922011866215
501301,17.498311614341947,78.66685545014336
502319,17.498311614341947,78.2580789370637
501359,17.16047377650411,78.46246719360353
500101,17.610924226954562,78.46246719360353
501512,17.273086389116724,78.66685545014336
D367866,28.7063083,77.1087892
124507,28.68003823598684,76.87271118164062
124504,28.65365145951716,76.80016168623509
122413,28.364722920671525,76.87271118164062
201307,28.59899156770566,77.36709594726564
201015,28.71160418031827,77.58925161588506
110088,28.71160418031827,77.14494027864622
110029,28.58281293610369,77.20460647484697
123411,28.31053916983876,76.40282902302272
502269,17.979976908715415,77.88757324218751
502246,17.799796728535235,77.88757324218751
502257,17.826183505004916,77.82063329088699
502273,17.777274206012713,78.09253414730384
502345,17.664661593400098,77.88757324218751
122016,28.525708783283093,77.07293093848189
131023,28.94050601417393,77.12539672851564
110096,28.60266817633609,77.34779895283803
110073,28.60266817633609,76.90299450419325
124102,28.615870539671818,76.61006927490236
122017,28.51395270345973,77.03750610351564
400027,18.96181814124214,72.88089752197267
410221,18.97513000046636,73.13804626464845
410208,19.05919738778152,73.14285278320314
400010,18.96916,72.84172000000001
410701,19.12290070140192,73.07545482808841
421103,19.3117913663136,73.23623657226564
421100,19.375494679934004,73.16873515021356
410200,18.995494074161105,73.07545482808841
410102,18.96091,73.27097499999999
421003,19.248088052693188,73.16873515021356
421102,19.268235,73.18473
D461093,20.6095183,83.1673029
D325346,21.1305215,74.4900614
D929596,21.7514248,74.8915957
D944990,24.5,74.5
413302,17.8499067,75.2763203
D394763,25.4680538,85.1952852
394670,21.1916567,73.5560631
621115,11.2902641,78.9300404
D312499,28.1326971,76.1697448
D842180,23.2933285,75.6263115
246439,30.4915835,79.0366067
785621,26.3689557,94.0086553
825402,24.0866962,85.4912231
382711,23.5705467,72.4568752
D982573,25.4003625,93.0752292
761214,19.1966026,84.1930634
D730512,23.2675909,78.1727134
821115,24.9394143,84.0197031
D145034,24.6203931,94.0104782
606001,11.5202071,79.3396356
D706767,21.2319922,83.5652737
D790955,23.6991279,85.9910689
D559536,16.0547194,76.9003647
D210640,24.7560846,81.3810574
249131,30.4658181,78.4837349
D697137,29.8536764,76.4684323
D501341,28.1161617,73.110567
D211386,24.5263926,93.800487
D525018,25.5814853,71.1924922
622506,10.2903072,78.8173617
D819057,20.0967555,79.5045475
D890225,29.0374779,77.3062737
843108,26.1482548,85.3316097
795102,24.1700959,94.0059673
783383,26.348883,90.6291434
844126,25.7491703,85.3972164
D654726,20.7618122,77.1921157
D580844,21.1545412,77.6442962
D940778,25.2861354,87.1304229
D170869,21.75,76.583333
582102,15.416692,75.6815801
D569194,24.6954445,80.7770348
211001,25.4741716,81.8495397
