pincode,bank_branches_per_lakh,deposits_per_capita
515455,37.8,179847.0
515465,30.0,179847.0
515501,25.5,179847.0
515511,28.4,179847.0
515521,25.2,179847.0
515531,29.1,179847.0
515541,27.8,179847.0
515551,19.3,179847.0
515556,22.7,179847.0
515561,41.4,179847.0
515571,21.8,179847.0
515581,19.8,179847.0
515591,18.0,179847.0
515601,16.0,179847.0
515611,24.9,179847.0
515621,26.7,179847.0
515631,25.2,179847.0
515641,22.7,179847.0
515651,21.5,179847.0
515661,15.3,179847.0
515671,23.8,179847.0
515672,24.1,179847.0
515701,22.0,179847.0
515711,47.3,179847.0
515721,50.2,179847.0
515722,43.0,179847.0
515731,50.0,179847.0
515741,45.2,179847.0
515751,48.5,179847.0
515761,39.7,179847.0
515763,31.2,179847.0
515765,23.8,179847.0
515766,14.6,179847.0
515767,14.1,179847.0
515774,11.8,179847.0
515775,10.9,179847.0
515787,8.7,179847.0
515801,16.0,179847.0
515803,14.3,179847.0
515812,8.4,179847.0
515822,6.8,179847.0
515832,8.6,179847.0
515842,7.5,179847.0
515863,7.3,179847.0
515865,8.6,179847.0
515867,10.4,179847.0
515870,7.9,179847.0
515871,8.4,179847.0
515872,8.5,179847.0
517001,11.9,179847.0
517002,12.1,179847.0
517004,11.2,179847.0
517101,8.3,179847.0
517102,28.4,179847.0
517112,28.9,179847.0
517113,16.3,179847.0
517123,19.0,179847.0
517124,26.3,179847.0
517125,24.7,179847.0
517126,26.4,179847.0
517127,12.2,179847.0
517128,11.9,179847.0
517129,18.3,179847.0
517130,27.8,179847.0
517131,27.7,179847.0
517132,25.5,179847.0
517152,27.7,179847.0
517167,27.8,179847.0
517172,27.5,179847.0
517192,27.6,179847.0
517193,28.6,179847.0
517194,29.6,179847.0
517213,31.5,179847.0
517214,21.7,179847.0
517234,14.8,179847.0
517235,10.0,179847.0
517236,14.4,179847.0
517237,14.1,179847.0
517247,8.2,179847.0
517257,15.1,179847.0
517277,19.8,179847.0
517280,7.8,179847.0
517291,22.1,179847.0
517297,21.3,179847.0
517299,21.7,179847.0
517305,14.6,179847.0
517319,15.9,179847.0
517325,16.0,179847.0
517326,20.4,179847.0
517350,14.5,179847.0
517351,14.9,179847.0
517352,10.6,179847.0
517370,10.9,179847.0
517390,14.6,179847.0
517391,10.7,179847.0
517401,14.6,179847.0
517403,14.4,179847.0
517408,14.6,179847.0
517414,11.0,179847.0
517415,11.0,179847.0
517416,14.9,179847.0
517417,14.9,179847.0
517418,15.3,179847.0
517419,10.6,179847.0
517421,15.1,179847.0
517422,15.5,179847.0
517423,15.1,179847.0
517424,10.5,179847.0
517425,16.6,179847.0
517426,20.5,179847.0
517429,20.9,179847.0
517432,15.2,179847.0
517501,20.8,179847.0
517502,15.5,179847.0
517503,15.1,179847.0
517504,24.8,179847.0
517505,22.3,179847.0
517506,23.7,179847.0
517507,20.8,179847.0
517520,17.7,179847.0
517526,24.3,179847.0
517536,23.2,179847.0
517541,19.4,179847.0
