state,district,mpce_combined,mpce_rural,mpce_urban,mpce_p50,ppi_signal,survey_year,source
RAJASTHAN,RAJSAMAND,4266.0,4327.0,3227.0,3144.0,12.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,NEEMUCH,4265.0,3941.0,4739.0,3716.0,12.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,HOSHANGABAD,4265.0,4206.0,4468.0,3390.0,12.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,BASTI,4260.0,4280.0,3305.0,3237.0,12.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,DHEMAJI,4254.0,4016.0,7200.0,3778.0,12.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,BAKSA,4247.0,4247.0,0,3793.0,12.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,RAYAGADA,4243.0,2786.0,6785.0,3013.0,12.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,JEHANABAD,4241.0,4091.0,6776.0,2862.0,12.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,DHUBRI,4237.0,4034.0,5120.0,3673.0,12.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,JAMUI,4235.0,4196.0,4566.0,3528.0,12.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,VARANASI,4233.0,3454.0,5039.0,3460.0,12.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,PURNIA,4229.0,3736.0,6010.0,3558.0,12.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,KARIMGANJ,4213.0,3972.0,6285.0,3527.0,12.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,MANDSAUR,4210.0,3445.0,5864.0,3337.0,12.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,PATAN,4207.0,4011.0,6597.0,3348.0,12.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
WEST BENGAL,DAKSHIN DINAJPUR,4203.0,4203.0,0,3482.0,12.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,DEWAS,4201.0,3698.0,5490.0,3473.0,12.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MEGHALAYA,JAINTIA HILLS,4199.0,4111.0,6622.0,3503.0,12.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,MAHOBA,4198.0,4087.0,4800.0,3686.0,12.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
WEST BENGAL,JALPAIGURI,4184.0,3852.0,4999.0,3645.0,12.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,PANCH MAHALS,4172.0,3909.0,7636.0,3460.0,12.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,GONDIYA,4168.0,3705.0,6196.0,2608.0,12.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,SAGAR,4147.0,3600.0,5419.0,3379.0,12.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,MAHAMAYA NAGAR,4136.0,3724.0,4831.0,3619.0,12.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,BID,4127.0,3919.0,4815.0,3493.0,12.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,KHERI,4126.0,3947.0,6245.0,3509.0,12.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,KOKRAJHAR,4120.0,3786.0,6293.0,3733.0,12.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,HARDOI,4114.0,3882.0,5295.0,3359.0,12.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
CHHATTISGARH,RAIGARH,4108.0,3295.0,5796.0,3535.0,11.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,ANUGUL,4101.0,3285.0,6180.0,3506.0,11.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,ETAH,4098.0,3714.0,6072.0,3756.0,11.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,PURI,4093.0,4061.0,4359.0,3455.0,11.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,SITAPUR,4092.0,3827.0,5214.0,3366.0,11.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,FIROZABAD,4087.0,3750.0,4911.0,3477.0,11.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,MADHUBANI,4085.0,4068.0,4512.0,3698.0,11.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,DHAR,4059.0,3848.0,5908.0,3554.0,11.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,SIDDHARTHNAGAR,4051.0,3961.0,5207.0,2801.0,11.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
