pincode,msme_per_lakh
146114,4376.69
146115,4376.69
146116,4376.69
147001,4325.51
147002,4325.51
147003,4325.51
147004,4325.51
147005,4325.51
147006,4325.51
147007,4325.51
147021,4325.51
147101,4325.51
147102,4325.51
147103,4325.51
147104,4325.51
147105,4325.51
147111,4325.51
147201,4325.51
147202,4325.51
147203,4325.51
147301,5708.44
148001,4172.25
148002,4172.25
148017,4172.25
148018,4172.25
148019,4172.25
148020,4172.25
148021,4172.25
148022,4172.25
148023,4172.25
148024,4172.25
148025,4172.25
148026,4172.25
148027,4172.25
148028,4172.25
148029,4172.25
148030,4172.25
148031,4172.25
148033,4172.25
148034,4172.25
148035,4172.25
148106,4172.25
151001,5370.02
151002,5370.02
151003,5370.02
151004,5370.02
151005,5370.02
151101,5370.02
151102,5370.02
151103,5370.02
151104,5370.02
151105,5370.02
151106,5370.02
151108,5370.02
151111,5370.02
151201,5370.02
151202,5497.66
151203,5497.66
151204,5497.66
151205,5497.66
151206,5370.02
151207,5497.66
151208,5497.66
151209,5497.66
151212,5497.66
151213,5497.66
151301,5370.02
151302,5370.02
151401,5370.02
151501,5370.02
151502,4136.4
151503,4136.4
151504,4136.4
151505,4136.4
151506,4136.4
151507,4136.4
151508,4136.4
151509,5370.02
151510,4136.4
160001,5994.5
160002,5994.5
160003,5994.5
160009,5994.5
160011,5994.5
160012,5994.5
160014,5994.5
160015,5994.5
160017,5994.5
160018,5994.5
160019,5994.5
160020,5994.5
160022,5994.5
160023,5994.5
160025,5994.5
160030,5994.5
160036,5994.5
160047,5994.5
160055,4680.48
160059,4680.48
160062,4680.48
160071,4680.48
160101,5994.5
160102,5994.5
171001,4475.13
171002,4475.13
171003,4475.13
171004,4475.13
171005,4475.13
171006,4475.13
171007,4475.13
171008,4475.13
171009,4475.13
171010,4475.13
171011,4475.13
171012,4475.13
171013,4475.13
171018,4475.13
171019,4475.13
171102,7557.53
171103,4475.13
171201,4475.13
171202,4475.13
171203,4475.13
171204,4475.13
171205,4475.13
171206,4475.13
171207,4475.13
171208,4475.13
171209,4475.13
171210,4475.13
171211,4475.13
171212,4475.13
171213,4475.13
171214,4475.13
171215,4475.13
171216,4475.13
171217,4475.13
171218,4475.13
171219,4475.13
171220,4475.13
171221,4475.13
171222,4475.13
171223,4475.13
171224,4475.13
171225,4475.13
171226,4475.13
171301,4475.13
172001,4475.13
172002,5914.87
172021,4475.13
172022,4475.13
172023,5914.87
172024,4475.13
172025,5914.87
172026,5914.87
172027,4475.13
172028,4475.13
172029,4475.13
172030,4475.13
172031,4475.13
172032,5914.87
172033,5914.87
172101,4475.13
172102,4475.13
172103,4664.4
172104,4664.4
172105,4664.4
172106,4664.4
172107,4664.4
172108,4664.4
172109,4664.4
172110,4664.4
172111,4664.4
172112,4664.4
172115,4664.4
172116,4664.4
172118,4664.4
172201,4475.13
173001,3733.37
173021,3733.37
173022,3733.37
173023,3733.37
173024,3733.37
173025,3733.37
173026,3733.37
173027,3733.37
173029,3733.37
173030,3733.37
173031,3733.37
173032,3733.37
173101,3733.37
173104,3733.37
173201,7557.53
173202,7557.53
173204,7557.53
173205,7557.53
173206,7557.53
173207,7557.53
173208,7557.53
173209,7557.53
173211,7557.53
173212,7557.53
173213,7557.53
173214,7557.53
173215,7557.53
173217,7557.53
173218,7557.53
173220,7557.53
173221,7557.53
173222,7557.53
173223,3733.37
173225,7557.53
173229,7557.53
173230,7557.53
173233,7557.53
173234,7557.53
173235,7557.53
174101,7557.53
174102,7557.53
174103,7557.53
174301,3746.81
174302,3746.81
174303,3746.81
174306,3746.81
174307,3746.81
174308,3746.81
174314,3746.81
174315,3746.81
174316,3746.81
174317,3746.81
174319,3746.81
174320,3746.81
174321,3746.81
174503,3746.81
174507,3746.81
175001,3316.0
175002,3316.0
175003,3316.0
175004,3316.0
175005,3316.0
175006,3316.0
175007,3316.0
175008,3316.0
175009,3316.0
175010,3316.0
175011,3316.0
175012,3316.0
175013,2956.7
175014,3316.0
175015,3316.0
175016,3316.0
175017,3316.0
175018,3316.0
175019,3316.0
175021,3316.0
175023,3316.0
175024,3316.0
175025,3316.0
175026,3316.0
175027,3316.0
175028,3316.0
175029,3316.0
175030,3316.0
175031,3316.0
175032,3316.0
175033,3316.0
175034,3316.0
175035,3316.0
175036,3316.0
175037,3316.0
175038,3316.0
175039,3316.0
175040,3316.0
175042,3316.0
175046,3316.0
175047,3316.0
175048,3316.0
175049,3316.0
175050,3316.0
175051,3316.0
175052,3316.0
175101,5914.87
175102,5914.87
175103,5914.87
175104,5914.87
175105,5914.87
175106,3316.0
175121,3316.0
175123,5914.87
175124,3316.0
175125,5914.87
175126,5914.87
175128,5914.87
175129,5914.87
175130,5914.87
175131,5914.87
175134,5914.87
175136,5914.87
175138,5914.87
175141,5914.87
175143,5914.87
176001,2956.7
176021,2956.7
176022,2956.7
176023,2956.7
176025,2956.7
176026,2956.7
176027,2956.7
176028,2956.7
176029,2956.7
176030,2956.7
176031,2956.7
176032,2956.7
176033,2956.7
176036,2956.7
176037,2956.7
176038,2956.7
176041,3508.09
176047,2956.7
176051,2956.7
176052,2956.7
176053,2956.7
176054,2956.7
176055,2956.7
176056,2956.7
176058,2956.7
176059,2956.7
176060,2956.7
176061,2956.7
176062,2956.7
176063,2956.7
176064,2956.7
176065,2956.7
176066,2956.7
176071,2956.7
176073,2956.7
176075,2956.7
176076,2956.7
