pincode,per_capita_income_karnataka
583103,185653.0
583104,185653.0
583105,185653.0
583111,185653.0
583112,185653.0
583113,185653.0
583114,185653.0
583115,185653.0
583116,185653.0
583117,185653.0
583118,185653.0
583119,185653.0
583120,185653.0
583121,185653.0
583122,185653.0
583123,185653.0
583124,185653.0
583125,140309.83333333334
583126,185653.0
583127,140309.83333333334
583128,185653.0
583129,185653.0
583130,185653.0
583131,140309.83333333334
583132,185653.0
583134,185653.0
583135,185653.0
583136,185653.0
583137,140309.83333333334
583152,185653.0
583201,185653.0
583203,185653.0
583211,185653.0
583212,185653.0
583213,140309.83333333334
583214,185653.0
583215,185653.0
583216,185653.0
583217,185653.0
583218,185653.0
583219,185653.0
583220,185653.0
583221,185653.0
583222,185653.0
583223,185653.0
583224,185653.0
583225,185653.0
583226,116205.28571428571
583227,116205.28571428571
583228,116205.28571428571
583229,116205.28571428571
583230,116205.28571428571
583231,116205.28571428571
583232,116205.28571428571
583233,138769.16666666666
583234,116205.28571428571
583235,116205.28571428571
583236,116205.28571428571
583237,116205.28571428571
583238,116205.28571428571
583239,185653.0
583268,116205.28571428571
583275,185653.0
583276,185653.0
583277,116205.28571428571
583278,116205.28571428571
583279,116205.28571428571
583280,116205.28571428571
583281,116205.28571428571
583282,116205.28571428571
583283,116205.28571428571
584101,120512.0
584102,120512.0
584103,120512.0
584104,120512.0
584111,120512.0
584113,120512.0
584115,120512.0
584116,120512.0
584118,120512.0
584120,120512.0
584122,120512.0
584123,120512.0
584124,120512.0
584125,120512.0
584126,120512.0
584127,120512.0
584128,120512.0
584129,120512.0
584132,120512.0
584133,120512.0
584134,120512.0
584135,120512.0
584136,120512.0
584138,120512.0
584139,120512.0
584140,120512.0
584143,120512.0
584167,120512.0
584170,120512.0
584202,120512.0
584203,120512.0
585101,107727.85714285714
585102,107727.85714285714
585103,107727.85714285714
585104,107727.85714285714
585105,107727.85714285714
585106,107727.85714285714
585201,147754.0
585202,147754.0
585210,107727.85714285714
585211,107727.85714285714
585212,107727.85714285714
585213,107727.85714285714
585214,147754.0
585215,147754.0
585216,147754.0
585217,107727.85714285714
585218,107727.85714285714
585219,147754.0
585220,147754.0
585221,147754.0
585222,107727.85714285714
585223,147754.0
585224,147754.0
585225,107727.85714285714
585226,120399.42857142857
585227,120399.42857142857
585228,107727.85714285714
585229,107727.85714285714
585236,107727.85714285714
585237,147754.0
585265,107727.85714285714
585287,147754.0
585290,147754.0
585291,147754.0
585292,107727.85714285714
585301,107727.85714285714
585302,107727.85714285714
585303,107727.85714285714
585304,147754.0
585305,107727.85714285714
585306,107727.85714285714
585307,107727.85714285714
585308,107727.85714285714
585309,147754.0
585310,107727.85714285714
585311,107727.85714285714
585312,107727.85714285714
585313,107727.85714285714
585314,107727.85714285714
585315,147754.0
585316,107727.85714285714
585317,107727.85714285714
585318,107727.85714285714
585319,147754.0
585320,107727.85714285714
585321,147754.0
585322,107727.85714285714
585323,147754.0
585324,107727.85714285714
585325,107727.85714285714
585326,120399.42857142857
585327,120399.42857142857
585328,120399.42857142857
585329,120399.42857142857
585330,120399.42857142857
585331,120399.42857142857
585353,120399.42857142857
585355,147754.0
585367,107727.85714285714
585401,120399.42857142857
585402,120399.42857142857
585403,120399.42857142857
585411,120399.42857142857
585412,120399.42857142857
585413,120399.42857142857
585414,120399.42857142857
585415,120399.42857142857
585416,120399.42857142857
585417,120399.42857142857
585418,120399.42857142857
585419,120399.42857142857
