pincode,district,psu_branch_count
423102,NASIK,3
423104,NASIK,7
423105,NASIK,2
423106,NASIK,7
423108,NASIK,2
423110,NASIK,2
423111,NASIK,2
423117,NASIK,3
423201,NASIK,2
423203,NASIK,14
423204,NASIK,5
423205,NASIK,2
423206,NASIK,2
423208,NASIK,2
423212,NASIK,1
423213,NASIK,2
423301,NASIK,15
423302,NASIK,2
423303,NASIK,1
423305,NASIK,1
423401,NASIK,8
423402,NASIK,2
423403,NASIK,2
423501,NASIK,8
423502,NASIK,5
424109,NASIK,1
401102,PALGHAR,6
401103,PALGHAR,2
401201,PALGHAR,8
401202,PALGHAR,18
401203,PALGHAR,6
401205,PALGHAR,1
401207,PALGHAR,1
401208,PALGHAR,18
401209,PALGHAR,8
401299,PALGHAR,1
401301,PALGHAR,3
401302,PALGHAR,1
401303,PALGHAR,21
401304,PALGHAR,1
401305,PALGHAR,6
401402,PALGHAR,1
401403,PALGHAR,2
401404,PALGHAR,15
401405,PALGHAR,1
401501,PALGHAR,13
401503,PALGHAR,3
401504,PALGHAR,2
401506,PALGHAR,1
401601,PALGHAR,2
401602,PALGHAR,13
401603,PALGHAR,4
401604,PALGHAR,4
401605,PALGHAR,2
401606,PALGHAR,8
401607,PALGHAR,1
401701,PALGHAR,1
401702,PALGHAR,1
401703,PALGHAR,1
421303,PALGHAR,8
421312,PALGHAR,4
431401,PARBHANI,25
431402,PARBHANI,1
431503,PARBHANI,5
431505,PARBHANI,4
431506,PARBHANI,3
431508,PARBHANI,1
431509,PARBHANI,3
431511,PARBHANI,3
431514,PARBHANI,6
431516,PARBHANI,1
431521,PARBHANI,1
431540,PARBHANI,2
431720,PARBHANI,1
144026,PUNE,1
401016,PUNE,1
410004,PUNE,1
410401,PUNE,9
410402,PUNE,2
410405,PUNE,3
410406,PUNE,1
410501,PUNE,19
410502,PUNE,6
410503,PUNE,7
410504,PUNE,9
410505,PUNE,11
410506,PUNE,5
410507,PUNE,7
410508,PUNE,1
410510,PUNE,2
410511,PUNE,1
410512,PUNE,1
410515,PUNE,2
410516,PUNE,1
411001,PUNE,44
411002,PUNE,22
411003,PUNE,12
411004,PUNE,30
411005,PUNE,23
411006,PUNE,11
411007,PUNE,15
411008,PUNE,3
411009,PUNE,11
411010,PUNE,1
411011,PUNE,10
411012,PUNE,1
411013,PUNE,5
411014,PUNE,31
411015,PUNE,10
411016,PUNE,9
411017,PUNE,3
411018,PUNE,15
411019,PUNE,8
411020,PUNE,2
411021,PUNE,12
411023,PUNE,3
411024,PUNE,2
411025,PUNE,1
411026,PUNE,5
411027,PUNE,16
411028,PUNE,23
411029,PUNE,10
411030,PUNE,28
411031,PUNE,2
411032,PUNE,3
411033,PUNE,16
411034,PUNE,4
411035,PUNE,7
411036,PUNE,6
411037,PUNE,22
411038,PUNE,13
411039,PUNE,5
411040,PUNE,8
411041,PUNE,18
411042,PUNE,14
411043,PUNE,5
411044,PUNE,9
411045,PUNE,22
411046,PUNE,7
411047,PUNE,5
411048,PUNE,15
411051,PUNE,6
411052,PUNE,7
411057,PUNE,20
411058,PUNE,6
411060,PUNE,4
411061,PUNE,5
411062,PUNE,2
411067,PUNE,1
411311,PUNE,1
411501,PUNE,2
412003,PUNE,1
412101,PUNE,8
412102,PUNE,1
412103,PUNE,2
412104,PUNE,3
412105,PUNE,12
